Feature,Importance,Std
Afdelinger,0.055257744085164776,0.0014694127749094467
Aldersgruppe,0.012745875931973294,0.0007852773584605303
Stilling_niv1,0.022032352546317226,0.001198952622574923
Koen,0.0018879668196165155,0.00023881099092727787
Year,0.05326855989102582,0.002212689422739928
Month,0.03924123000819084,0.002031180673148669
Day,0.002311992066610935,0.0012152504554377754
is_weekend,0.0799730098685255,0.0035335441194839323
weekday,0.0744074787297458,0.002762475728857912
is_holiday,0.009611143367140052,0.0010012394055608559
is_school_holiday,0.0012042733738902522,0.0004994373448614616
Antal_timer_yesterday,0.2703904802734818,0.003761380848971606
Antal_Loentimer,0.3761505206368756,0.004601206234349228
Antal_Kontakter,0.03462057461821973,0.0011307448571780752
