mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_colsample_bytree;param_learning_rate;param_max_depth;param_n_estimators;param_subsample;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.7990305900573731;0.13876005091937277;0.008764028549194336;0.0009779115784331054;0.7;0.1;10;100;0.7;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.7};0.7024447729910819;0.7035556674076;0.7126204052888803;0.7082547418918568;0.6944223734685177;0.7042595922095873;0.006106134093073549;3
0.920789384841919;0.274163174589792;0.015801143646240235;0.015641378789581075;0.7;0.1;10;100;0.8;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8};0.704578667297918;0.7051507030907607;0.7121667634324209;0.7077404471130446;0.6956463231004597;0.7050565808069208;0.005413834976161047;2
0.6925391674041748;0.08173261957469868;0.007848072052001952;9.35660219198472e-05;0.7;0.1;10;100;0.9;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.9};0.7058388371259188;0.70606058649248;0.712912400910714;0.7109129316018108;0.6965079668066054;0.7064465445875058;0.005675376838077171;1
1.5574833393096923;0.17122715905007832;0.033295488357543944;0.018237421836158202;0.7;0.1;10;200;0.7;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.7};0.695774092201945;0.6970227363899408;0.7066897538571385;0.7007737068621609;0.6859433847464493;0.6972407348115269;0.006805799509004877;19
2.7035462856292725;1.379337632900645;0.03177456855773926;0.016543820937037393;0.7;0.1;10;200;0.8;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8};0.6980055676645551;0.6978300548254259;0.7065975829383319;0.7014726453048143;0.6888122804869126;0.698543626244008;0.005812798853239124;11
1.5176056385040284;0.11946210876586721;0.028519821166992188;0.01753527015591159;0.7;0.1;10;200;0.9;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.9};0.6999479697424098;0.7005105156044173;0.7077750365588757;0.7046471283904892;0.6901454147648434;0.700605213012207;0.005959727599577794;7
3.19568190574646;0.8203212430003239;0.02160472869873047;0.008919240518165514;0.7;0.1;10;300;0.7;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300, 'subsample': 0.7};0.6895722226001797;0.6902489095046123;0.7006618992795102;0.6936931467332095;0.6808541733273686;0.691006070288976;0.006420991152131144;50
3.92850284576416;1.3654519672131162;0.030085086822509766;0.017822004545940694;0.7;0.1;10;300;0.8;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300, 'subsample': 0.8};0.6908100061988991;0.6911793696070724;0.7010532119446509;0.6956615070875684;0.6819670009468941;0.6921342191570169;0.00629329478484219;42
5.359482145309448;2.954275441416572;0.021570110321044923;0.015029197462655103;0.7;0.1;10;300;0.9;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300, 'subsample': 0.9};0.6951006041057417;0.695488103861617;0.7024283795358258;0.6993343441979942;0.6848256883890754;0.6954354240180509;0.005946164731984752;30
13.905112028121948;1.3768724798603997;0.03553228378295899;0.013614264724899319;0.7;0.1;20;100;0.7;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 100, 'subsample': 0.7};0.6879650215289371;0.6889690991676048;0.6984824875110403;0.6888474632900841;0.6801205380640165;0.6888769219123365;0.0058272133191805825;62
15.819342660903931;1.9705694408750858;0.0404141902923584;0.017003683859242696;0.7;0.1;20;100;0.8;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 100, 'subsample': 0.8};0.6908476738471712;0.6877205487721683;0.7018310695226442;0.6945493321365942;0.6809304268725024;0.6911758102302159;0.006955998648900872;48
20.717791080474854;2.1057851094573965;0.037114715576171874;0.02111996248910984;0.7;0.1;20;100;0.9;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 100, 'subsample': 0.9};0.6941854422907487;0.692072101174958;0.7008410657390474;0.6923649952076267;0.6833676444103849;0.6925662497645533;0.005585577687860904;40
28.077304458618165;2.897540667748035;0.07443490028381347;0.026420917505468277;0.7;0.1;20;200;0.7;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 200, 'subsample': 0.7};0.6848253689578323;0.6860971125074269;0.6958220216581501;0.6858036875284438;0.6771776269860791;0.6859451635275865;0.005928221780048501;70
33.870284461975096;2.7443847823227476;0.05192923545837402;0.0013769145272150237;0.7;0.1;20;200;0.8;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 200, 'subsample': 0.8};0.6889626790169401;0.6856891926823265;0.7000005290154445;0.6925578893914048;0.6789546642575084;0.6892329908727248;0.007003861791000141;60
36.87414784431458;3.595638298568295;0.053380393981933595;0.001471501002316341;0.7;0.1;20;200;0.9;{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 200, 'subsample': 0.9};0.692555237311856;0.6906058254463814;0.6994198239011241;0.6907190841368245;0.6819357968540877;0.6910471535300549;0.005580235592094976;49
