mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_bootstrap;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.0034456253051757812;6.930594756926253e-05;0.0;0.0;True;10;auto;4;10;200;{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200};;;;;;;;163
0.003391265869140625;8.61977305619545e-05;0.0;0.0;True;10;auto;4;10;300;{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300};;;;;;;;163
3.5803536415100097;0.03249419015887662;0.14098596572875977;0.0038640559385253502;True;10;sqrt;1;2;100;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.6763408896623277;0.6741814367688634;0.6798357766867416;0.6795098468785051;0.6704555846723252;0.6760647069337525;0.0034978619834979893;136
7.12219557762146;0.034357747345888756;0.2799049377441406;0.00533655660495422;True;10;sqrt;1;2;200;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200};0.6766433111396721;0.6737202250915835;0.6811661241507629;0.6792628116017587;0.671394848001498;0.676437463997055;0.0035551807923325015;123
10.664900922775269;0.04339366647243585;0.4197994709014893;0.004820624935079816;True;10;sqrt;1;2;300;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300};0.6760225116630378;0.6737030147397414;0.6816906797259292;0.6800194087961254;0.6717059955370646;0.6766283220923797;0.0037491508890184233;119
3.5414355278015135;0.032585821474394226;0.14275064468383789;0.002873881794747217;True;10;sqrt;1;5;100;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.676193845022949;0.6735301174084815;0.681427023629709;0.6787822437621771;0.6711145293065957;0.6762095518259825;0.003660044420376652;128
7.070674467086792;0.02938655923160363;0.2802873134613037;0.004700762302997974;True;10;sqrt;1;5;200;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200};0.6759002274619201;0.6719401070365576;0.6807511446609825;0.6780940549088569;0.6711150098322143;0.6755601087801063;0.003642711476291241;149
10.602293634414673;0.036206658973276316;0.42438230514526365;0.009926049648053352;True;10;sqrt;1;5;300;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300};0.6763923910856187;0.6727447319372031;0.6811675317955636;0.6784036897414458;0.6710275801333263;0.6759471849386315;0.0036862680947805527;142
3.5518781185150146;0.023819696745412882;0.14104180335998534;0.005948679646099011;True;10;sqrt;1;10;100;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0.6748749931560101;0.672646571564456;0.6808079288017914;0.677588301845903;0.67041402517104;0.67526636410784;0.003651356226570684;152
7.1009056091308596;0.037271915344479024;0.2856463432312012;0.010336477871136231;True;10;sqrt;1;10;200;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200};0.6764930762783575;0.6740762780026299;0.6803891675159432;0.6796160402602355;0.6709681955468476;0.6763085515208027;0.0034964955322698593;126
