mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_leaf_size;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.2025118350982666;0.028533547106578055;0.7353370666503907;0.0028959134063903788;auto;10;3;uniform;{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'};0.36614383393779015;0.3759002633049173;0.3883461499462617;0.3734534517660939;0.3586892611937139;0.37250659202975533;0.009946943902968469;73
0.19027299880981446;0.003823335446888013;0.7339385509490967;0.004771786088557583;auto;10;3;distance;{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'distance'};0.35749713437981945;0.3654619088886272;0.3796206033983971;0.3638474129780447;0.35116249109711106;0.3635179101483999;0.009508843819400243;85
0.18871469497680665;0.0013871353603519604;0.8798639297485351;0.004645148660973343;auto;10;5;uniform;{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'uniform'};0.4196033472815147;0.42968164905991846;0.4366817088765854;0.43261919680166894;0.4265045542225432;0.4290180912484461;0.00578090957667393;35
0.18811726570129395;0.00203122731424343;0.8885134220123291;0.007147573394971846;auto;10;5;distance;{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'distance'};0.4168538859598191;0.4254040780559666;0.43420357914523233;0.42870624005238145;0.4238409534489357;0.425801747332467;0.005711285887106726;59
0.18741469383239745;0.0011405697571903676;1.0039448738098145;0.005365801054373968;auto;10;7;uniform;{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 7, 'weights': 'uniform'};0.42135596289076105;0.42889206871596663;0.43807328387764;0.4351839863693715;0.42472649872378343;0.4296463601155045;0.0062479280788683735;16
0.18898630142211914;0.00397735189375589;1.0078076362609862;0.0031671785819026616;auto;10;7;distance;{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 7, 'weights': 'distance'};0.42381463345603476;0.4302236277154948;0.44094465204140154;0.43646404349523826;0.42752138820396324;0.4317936689824265;0.00616336449671584;4
0.1877610206604004;0.0008229141011302949;1.12668833732605;0.004739261521689421;auto;10;9;uniform;{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 9, 'weights': 'uniform'};0.40852939143845646;0.42536105613774233;0.4288506086717908;0.428523824230714;0.4182795401756575;0.42190888413087224;0.007694743997602055;71
0.18748106956481933;0.0013735560038995837;1.1206199169158935;0.006253252654818581;auto;10;9;distance;{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 9, 'weights': 'distance'};0.4157259827846299;0.42983803434559287;0.4350819989219925;0.43360664018368644;0.42457246178184194;0.42776502360354873;0.007029807116012486;47
0.17511625289916993;0.0026781319186966524;0.6784689426422119;0.00416139171761867;auto;20;3;uniform;{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3, 'weights': 'uniform'};0.36600523441351185;0.37593802775549434;0.3881456665876596;0.37326333395855305;0.35848560102240645;0.3723675727475251;0.009956779302491874;81
0.17205405235290527;0.0007706435268869716;0.6757716655731201;0.004574165805073342;auto;20;3;distance;{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3, 'weights': 'distance'};0.3573680178565255;0.36552905321989815;0.37945042327859657;0.36367759092344776;0.3509848295550262;0.36340198296669884;0.009515747557099398;93
0.17225747108459472;0.002411527660274546;0.802722978591919;0.002595990353400936;auto;20;5;uniform;{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'weights': 'uniform'};0.4196702220471177;0.4295885401646111;0.4366502043916394;0.4326113560693532;0.4267634926883207;0.42905676307220836;0.005726159459748293;28
0.17433452606201172;0.004449006886104437;0.801526403427124;0.00425350379784721;auto;20;5;distance;{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'weights': 'distance'};0.4169062682690182;0.4253280870253193;0.43417149929605037;0.42869997144027505;0.42406726940240536;0.4258346190866137;0.00567114386512241;52
0.17249517440795897;0.0006113681745935746;0.9169763088226318;0.0031051789498358546;auto;20;7;uniform;{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'weights': 'uniform'};0.4214157408365833;0.4289677196983007;0.4379307860846767;0.43514801415532733;0.4246393026769403;0.42962031269036566;0.006199528840070118;18
0.1723940372467041;0.0012402999488622828;0.9125678062438964;0.005992957308816738;auto;20;7;distance;{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'weights': 'distance'};0.4238671884458506;0.4302871209511334;0.44082141440140854;0.43642997127660954;0.42745610433657;0.4317723598823144;0.0061140242663658825;6
0.1737614631652832;0.0033944388771672608;1.0138929843902589;0.006823015945318882;auto;20;9;uniform;{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'weights': 'uniform'};0.40848510745582556;0.4253379239270588;0.4294675680221356;0.42850856405959914;0.41830940319325394;0.42202171333157457;0.007817137357788531;61
0.1726299285888672;0.0010547553500998112;1.0139034271240235;0.005666517102638143;auto;20;9;distance;{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'weights': 'distance'};0.4156952055630653;0.4298179499971365;0.4356250016881854;0.43359387469819766;0.4245931286044502;0.427865032110207;0.007150673873988582;37
0.1734804630279541;0.0013465110889147192;0.6807226657867431;0.0033909407413948195;auto;30;3;uniform;{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'weights': 'uniform'};0.36600523441351185;0.37593802775549434;0.3881456665876596;0.37326333395855305;0.35848560102240645;0.3723675727475251;0.009956779302491874;81
0.1743618965148926;0.004784447097472178;0.6783055305480957;0.0031091766959625853;auto;30;3;distance;{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'weights': 'distance'};0.3573680178565255;0.36552905321989815;0.37945042327859657;0.36367759092344776;0.3509848295550262;0.36340198296669884;0.009515747557099398;93
0.17525110244750977;0.0038906757890720626;0.8064463138580322;0.0036069428840512546;auto;30;5;uniform;{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'weights': 'uniform'};0.4196702220471177;0.4295885401646111;0.4366502043916394;0.4326113560693532;0.4267634926883207;0.42905676307220836;0.005726159459748293;28
