mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_criterion;param_max_depth;param_min_samples_leaf;param_min_samples_split;param_splitter;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.23158321380615235;0.0018535049435373836;0.003354787826538086;9.044722331912457e-05;poisson;10;1;2;best;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'};0.6530231868947785;0.6454202294527307;0.6451519535766403;0.6556966121846638;0.646418894040238;0.6491421752298103;0.004363803501194649;15
0.091668701171875;0.0015296524044087184;0.0035641670227050783;0.0005804335911763622;poisson;10;1;2;random;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'};0.6451141721074638;0.6367970784642367;0.6525498044190079;0.6435205080697888;0.6354686652819506;0.6426900456684896;0.006175051361211793;45
0.23284387588500977;0.0018204482730002555;0.0034671306610107424;9.877292416832959e-05;poisson;10;1;5;best;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'};0.6533960481428267;0.6460331152059889;0.6464336723988979;0.6573959880458725;0.647488836531399;0.650149532064997;0.004491832420385902;14
0.09110507965087891;0.0006787500603627609;0.0033254623413085938;7.47549279016011e-05;poisson;10;1;5;random;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'};0.6488094184767621;0.6437809770980395;0.65226634511099;0.651664552124395;0.6393512153287324;0.6471745016277838;0.004929101213681108;25
0.23458423614501953;0.0030720962250068845;0.0035800933837890625;0.0002968744261699428;poisson;10;1;10;best;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'};0.6532306973733193;0.64549503499875;0.6464968198416028;0.6582362705680576;0.6485788082735827;0.6504075262110625;0.004733496321591904;9
0.09385671615600585;0.0036058519719427305;0.0038799762725830076;0.0012549073018411196;poisson;10;1;10;random;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'};0.6549173507490812;0.6356366173282659;0.6509669619041699;0.6546915471140191;0.6461636721310483;0.6484752298453169;0.007162758144826204;19
0.23205466270446778;0.0010993946951180064;0.0034009456634521485;9.206225254705198e-05;poisson;10;2;2;best;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'};0.6529033801242006;0.6466617808234987;0.6483245544326465;0.6570379955541024;0.648871065265101;0.6507597552399098;0.0037497246884938837;7
0.09235448837280273;0.0010900287425904204;0.003378486633300781;0.00013113521219628607;poisson;10;2;2;random;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'};0.6494109971141111;0.649967082879048;0.6295971064741719;0.6448837167493843;0.637200632062304;0.6422119070558038;0.007789149986109888;48
0.23190927505493164;0.0011794438765293865;0.0034847259521484375;0.00013441446601807593;poisson;10;2;5;best;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'};0.65256187157604;0.6465214452528927;0.6485357154918974;0.6578515752956089;0.6483033867841238;0.6507547988801126;0.004061644556118115;8
0.09314689636230469;0.001640421582824896;0.0036718368530273436;0.0005688654187324043;poisson;10;2;5;random;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'};0.6388420043698031;0.6425493078984179;0.6504034990149441;0.6492442760006214;0.6345274207338674;0.6431133016035308;0.006050045365473999;42
0.22946486473083497;0.0013718279986198372;0.0033342838287353516;7.602121362385149e-05;poisson;10;2;10;best;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'};0.6522034640855987;0.6477315910910542;0.6506764779214456;0.6596772665983681;0.6496246402297232;0.651982687985238;0.004113239134110983;1
0.09165849685668945;0.0007779263303013568;0.003361415863037109;0.0001387749660165195;poisson;10;2;10;random;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'};0.6545073243537525;0.6477088292716853;0.6385569623756909;0.6515203818647565;0.6407884319303452;0.6466163859592461;0.006106207884443472;29
0.22822246551513672;0.0010144226643175323;0.0033931732177734375;7.362881454627903e-05;poisson;10;4;2;best;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'};0.6526072323264489;0.645582284980419;0.6498773424970762;0.6603476872527351;0.6463436472435957;0.6509516388600549;0.005333748693389712;4
0.08955039978027343;0.0020618141996611127;0.003201580047607422;8.89076403900942e-05;poisson;10;4;2;random;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'};0.6437310405550871;0.6453054830120155;0.6453915228408044;0.6351893515040274;0.6402978341276918;0.6419830464079253;0.00386538512950262;49
0.22897744178771973;0.0017053157161947493;0.003362751007080078;9.452057585260899e-05;poisson;10;4;5;best;{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'};0.6522395821026805;0.6455318006086914;0.6499491529728483;0.6604198795926353;0.6462441831483748;0.650876919685046;0.005363174983033265;5
