True Values
6.0
10.2
4.0
2.5
2.5
12.0
3.5
2.0
8.0
7.0
7.9
0.0
4.25
1.25
16.0
8.0
7.5
0.0
8.5
17.5
7.4
9.25
12.5
3.75
0.0
7.5
0.0
8.0
16.0
4.4
8.25
4.5
40.97
0.0
7.2
0.0
0.0
3.5
0.0
0.0
8.0
8.0
7.5
6.65
7.5
6.0
4.4
0.0
95.5
8.0
0.0
0.0
3.0
8.5
7.4
7.0
5.5
11.4
8.0
7.0
0.0
7.4
8.0
10.0
0.0
0.0
28.55
0.0
47.75
0.0
0.0
7.0
29.0
8.0
0.0
22.8
8.0
8.5
6.5
3.0
0.0
19.5
8.75
2.5
0.0
0.0
6.4
8.0
4.0
0.0
0.0
14.58
15.4
29.3
26.6
0.0
3.75
25.0
16.2
26.0
